Accession Number,Temp ID,Display Title,Display Artist,Creation Date,Media & Support,Credit Line,Current Location,Specific Location,Department,Council District
1975.002,,The Dancer,Marcello Mascherini,1950,Bronze on Concrete Base,Given to the City of Houston by Mr. & Mrs. Robert D. Straus,"615 Louisiana St. Houston, TX 77002 ",Jesse J. Jones Hall - Outside,CEF,I
2004.008,,George Bush Presidential Monument,Charles Fagan,2004,Bronze,Greater Houston Community Foundation,"400 Texas Ave. Houston, TX 77002",,CEF,I
2008.001,,Syncronicity of Color,Margo Sawyer,2008,Anodized Aluminum,,"1500 McKinney St. Houston, TX 77010",Parking Garage,CEF,I
2009.006,,Axis Mundi,Benito Huerta,1996,"Acrylic, dye and ink on canvas","Gift of The Museum of Fine Arts, Houston with funds provided by Lila Wallace-Reader's Digest fund.  Additional support has been provided by the Charles E. Culpeper Foundation, the Edward and Betty Marcus Foundation, and the National Endowment for the Arts, a federal agency.","333 S. Jensen Dr. Houston, TX  77003",Theatre,CEF,H
2010.001,,Power of Houston,,2004,Quilt,"A gift to the City of Houston from Quilts, Inc.","1001 Avenida de Las Americas Houston, TX 77010",George R. Brown Convention Center - 2nd floor Visitors Center,CEF,I
2010.002,,Christoph Eschenbach Plaque,Peter Boyle,1999,Brass,Purchased by the City of Houston,"615 Louisiana St. Houston, TX 77002 ",Jesse J. Jones Hall,CEF,I
,1966.002,Gemini II,Richard Lippold,1965-1966,Anodized Aluminum and 22k gold-plated stainless steel cables,Commissioned by the Houston Endowment,"615 Louisiana St. Houston, TX 77002 ",Jesse J. Jones Hall - Lobby,CEF,I
,1969.001,Pair of Horses,Robert Fowler,1963,Cor-Ten Steel,Donated by Cleburn Interests,"615 Louisiana St. Houston, TX 77002 ",Jesse J. Jones Hall - Outside Under Staircase,CEF,I
,1970.001,Sweeney Clock,E. Howard & Co.,1877,"Iron, Wood, Clockwork",Donated to the City of Houston by the Sweeny Family,700 Bagby St. Houston TX 77002,Sweeny Clock Triangle,CEF,I
,1977.004,Lily Pads,John E. Alexander,1977,Oil on Canvas,Donated to the City of Houston by Mrs. Susan McAshan,"615 Louisiana St. Houston, TX 77002 ",Jesse J. Jones Hall - Mezzanine,CEF,I
,1981.007,The Quilting Party,John Biggers,1980,Acrylic on commercially gessoed canvas,Donated to the City of Houston by Mrs. Susan McAshan,"500 Texas Ave. Houston, TX 77002",Wortham Theater Center,CEF,I
,1987.003,Untitled,Albert Paley,1987,Paint on Steel,,"500 Texas Ave. Houston, TX 77002",Wortham Theater Center,CEF,I
,1988.009,Edna Saunders,Charles Fox,Mid 20th Century,Oil on Canvas,Donated by the the Saunders Family and the Society for the Performing Arts,"615 Louisiana St. Houston, TX 77002 ",Jesse J. Jones Hall - Green Room,CEF,I
,1997.002,John T. Jones,Lawrence M. Ludtke,1997,Bronze,,"615 Louisiana St. Houston, TX 77002 ",Jesse J. Jones Hall - Lobby,CEF,I
,1997.003,Jesse H. Jones,Lawrence M. Ludtke,1997,Bronze,,"615 Louisiana St. Houston, TX 77002 ",Jesse J. Jones Hall - Outside,CEF,I
,1998.001,Big Bubble,Dean Ruck,1998,"Air pump, Electronics",,"400 Texas Ave. Houston, TX 77002",Sesquicentennial Park ,CEF,I
,1998.002,Site Seeing,Dean Ruck,1998,Photoetchings on Panels,,"400 Texas Ave. Houston, TX 77002",Sesquicentennial Park ,CEF,I
,1998.003,Sounds of the Past,Dean Ruck,1998,"Electronics, Sound",,"400 Texas Ave. Houston, TX 77002",Sesquicentennial Park ,CEF,I
,2009.011,Secretary of State Baker,Charles Fagan,,Bronze,,"400 Texas Ave. Houston, TX 77002",Sesquicentennial Park ,CEF,I
,1993.001-a-g,Seven Wonders,Mel Chin,1996,Stainless Steel on Brick Base,"Commissioned by the Central Houston Civic Improvement Association, Inc. for the City of Houston","400 Texas Ave. Houston, TX 77002",Sesquicentennial Park ,CEF,I
,2005.004-a-e,Heritage Lanterns,Carter Ernst and Paul Kittelson,2005,Stainless Steel,,"1400 Clay St. Houston, TX 77002",Root Memorial Square Park,CEF,I
,2008.002.01,In Minds,Anthony Cragg,2001-2002,Bronze on Stainless steel armature,,"800 Bagby St. Houston, TX 77002",Hobby Center for the Performing Art,CEF,I
,2008.002.02,Wall Drawing 2002,Sol LeWitt,2002,,,"800 Bagby St. Houston, TX 77002",Hobby Center for the Performing Art,CEF,I
,2010.003.01,Autumn,Kate Balsley,2008,DVD,,"1001 Avenida de Las Americas Houston, TX 77010",George R. Brown Convention Center ,CEF,I
,2010.003.02,Falling,Nell Breyer,2004-2007,DVD,,"1001 Avenida de Las Americas Houston, TX 77010",George R. Brown Convention Center ,CEF,I
,2010.003.03,Video Starring Four Light Bulbs,William A. Brown,2009,DVD,,"1001 Avenida de Las Americas Houston, TX 77010",George R. Brown Convention Center ,CEF,I
,2010.003.04,Tornadic Paint,Victor Ingrassia,2008,DVD,,"1001 Avenida de Las Americas Houston, TX 77010",George R. Brown Convention Center ,CEF,I
