"mediaAndSupport","currentLocationAddress","displayTitle","displayArtist","completionYear","creditLine","specificLocation","department","councilDistrict","compositeID","long","lat","countOfMaterials"
"Bronze","8501 West Montgomery Road, Houston, TX 77088","Total Trust","Ann Armstrong","1981","Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant","Acres Home Branch Library","HPL","B","1981.001NA",-95.436619,29.870765,1
"Bronze on Concrete","4800  Montrose Blvd. Houston, TX 77005","Christopher Columbus","Joe Incrapera","1992","Donated to the city of Houston by the Federation of Italian American Organizations of Greater Houston, Inc.","Bell Park","PARD","C","NA1992.001",-95.39107,29.73014,2
"Bronze","611 Walker St. Houston, TX 77002","Guitar Solo","Carroll Harris Simms","1980","Donated the City of Houston by Mr. and Mrs. S. M. McAshan, Jr.","Bob Lanier Public Works Building - Lobby","PWE","I","NA1980.007",-95.367669,29.759799,1
"Bronze on Cement","4548 Bricker Street, Houston, TX 77051","Dr. Martin Luther King, Jr.","Eric Kaposta","1981","Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant","Bricker Park","PARD","D","1981.004NA",-95.358686,29.673143,2
"wool","500 McKinney St. Houston, TX 77002","Birth of Light","Leonardo Nierman","1991","Donated to the City of Houston in 1992 by the Government of Mexico at the consular ball","Central Library","PARD","I","NA1992.002",-95.369371,29.759494,1
"Tempera and Acrylic on rice paper mounted on canvas","500 McKinney St. Houston, TX 77002","Inner City 1996","Ibsen Espada","1996","Gift of the Museum of Fine Arts, Houston with funds provided by the Lila Wallace-Reader's Digest fund.  Additional support has been provided by the Charles E. Culpeper Foundation, the Edward and Betty Marcus Foundation, and the National Endowment for the Arts, a federal agency.","Central Library - Jones Building 6th Floor Storage","HPL","I","2013.001NA",-95.369371,29.759494,4
"Ceramic Tiles","500 McKinney St. Houston, TX 77002","Don Quixote","Talavera Pottery","1929","Donated to the Library by Senorita Esperanza Velasquez Bringas in 1929 in appreciation of the Spanish architecture of the central library after her visit in 1928.","Central Library - Julia Ideson Building","HPL","I","NA1929.001",-95.369371,29.759494,1
"Oil on Canvas","500 McKinney St. Houston, TX 77002","Galveston Bay/Harbor","Verner White","1903","Donated to the Library by Mrs. Verner White in 1941","Central Library - Julia Ideson Building","HPL","I","NA1941.001",-95.369371,29.759494,2
"Wood","500 McKinney St. Houston, TX 77002","Hen & Brood Of Chickens","Raymon Bigot","1928","Donated to the Library by Dr. and Mrs. M.L. Graves in 1928.","Central Library - Julia Ideson Building","HPL","I","NA1928.003",-95.369371,29.759494,1
"Oil on Canvas (est.) mounted to masonry wall","500 McKinney St. Houston, TX 77002","Houston Lyceum Committee","Ruth Pershing Uhler","1935","Public Works of Art Project, 1933-34, as part of the Works Progress Administration ","Central Library - Julia Ideson Building","HPL","I","NA1935.001",-95.369371,29.759494,3
"Bronze","500 McKinney St. Houston, TX 77002","Norma Meldrum Plaque","Thomas Hudson Jones","1905","Donated to the Library by Mr. and Mrs. N. S. Meldrum.","Central Library - Julia Ideson Building","HPL","I","NA1905.004",-95.369371,29.759494,1
