mediaAndSupport,countOfMaterials
"x",1
"Bronze",1
"Painted steel, bronze",3
"Bronze on Granite Base",2
"Painted Cast Iron",2
"Granite, bronze, and USS Houston brass ship's bell",3
"Painted Steel",2
"Painted steel",2
"Oil on Canvas",2
"Painted plaster",2
"Salvaged masonry fragments",1
"Silicon bronze",2
"Acrylic, dye and ink on canvas",4
"Stainless Steel on Brick Base",2
"Bronze on Cement",2
"Bronze on Concrete",2
"Wood",1
"Oil on Canvas (est.) mounted to masonry wall",3
"Tempera and Acrylic on rice paper mounted on canvas",4
"Ceramic Tiles",1
"wool",1
"Acrylic on commercially gessoed canvas",2
"Gelatin Silver Photograph",2
"Granite",1
"Bronze on Granite Pedestal",2
"Bronze on Concrete Base",2
"Cor-Ten Steel",1
"Anodized Aluminum and 22k gold-plated stainless steel cables",3
"Brass",1
"Iron, Wood, Clockwork",3
"Paint on Canvas mounted on Board",3
"Linen, Wool",2
